z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m]
33.0,39.4225,0.7471,0.33825,CA,,,,,,,
33.5,49.4397,0.8751,0.343375,CA,,,,,,,
34.0,43.83201739130434,0.7618565217391302,0.3485,CA,,,,,,,
34.5,38.9157,0.6251,0.353625,CA,,,,,,,
35.0,42.4077,0.6362,0.35875,CA,,,,,,,
35.5,41.75480000000003,0.5573333333333347,0.3530483333333335,CA,,,,,,,
36.0,48.2569,0.5024,0.329475,CA,,,,,,,
36.5,56.9995,0.6013,0.308675,CA,,,,,,,
37.0,59.6005,0.6135,0.275975,CA,,,,,,,
37.5,62.6615,0.6419571428571423,0.2945607142857145,CA,,,,,,,
38.0,60.9465,0.6361,0.335875,CA,,,,,,,
38.5,62.0306,0.6976,0.295775,CA,,,,,,,
39.0,61.5206,0.7277,0.248775,CA,,,,,,,
39.5,64.1304,0.7018,0.189775,CA,,,,,,,
40.0,62.0945,0.7081,0.236375,CA,,,,,,,
0.5,4.359972727272727,0.01024545454545455,0.02486475,DW,,,,,2.48,50.0,32.0
1.0,9.335709090909091,0.05947272727272728,0.03146475,DW,,,,,2.48,50.0,32.0
1.5,11.14232,0.07562,0.03808475,DW,,,,,2.48,50.0,32.0
2.0,12.1017,0.0919,0.04366475,DW,,,,,2.48,50.0,32.0
2.5,12.12185,0.1051,0.05146475,DW,,,,,2.48,50.0,32.0
3.0,11.32947464788732,0.09808394366197182,0.08955049154929579,DW,4.0,0.113125,0.1508333333333333,7.0,2.48,50.0,32.0
3.5,12.13746,0.06756000000000001,0.15701,DW,8.0,0.101875,0.1358333333333333,10.5,2.48,50.0,32.0
4.0,28.48658,0.1647199999999999,0.18026,DW,12.0,0.090625,0.1208333333333333,14.0,2.48,50.0,32.0
4.5,30.1738,0.2703,0.1202,DW,18.0,0.09422083333333334,0.125625,22.0,2.48,50.0,32.0
5.0,24.61915999999999,0.24268,0.18133,DW,24.0,0.09781666666666666,0.1304166666666667,30.0,2.48,50.0,32.0
5.5,27.91198888888889,0.2301,0.2020388888888889,DW,24.0,0.1088458333333333,0.1451250000000001,43.5,2.48,50.0,32.0
6.0,22.90875308641975,0.2392567901234568,0.2017672839506173,DW,24.0,0.119875,0.1598333333333334,57.0,2.48,50.0,32.0
6.5,24.80149092229484,0.1968094408133624,0.1963932824981845,DW,54.0,0.11825,0.1576666666666667,81.5,2.48,50.0,32.0
7.0,26.69422875816993,0.154362091503268,0.1910192810457516,DW,84.0,0.116625,0.1555,106.0,2.48,50.0,32.0
7.5,30.32597272727273,0.2010818181818183,0.18715,DW,78.0,0.1332833333333334,0.1777083333333334,149.0,2.48,50.0,32.0
8.0,29.2707,0.214,0.19875,DW,72.0,0.1499416666666667,0.1999166666666667,192.0,2.48,50.0,32.0
8.5,33.00587999999997,0.1693599999999995,0.1994299999999999,DW,90.0,0.1537833333333333,0.2050416666666667,235.5,2.48,50.0,32.0
9.0,43.08067999999999,0.2691000000000001,0.19703,DW,108.0,0.157625,0.2101666666666667,279.0,2.48,50.0,32.0
9.5,38.52632857142859,0.2904857142857143,0.2115928571428571,DW,100.0,0.1894375,0.2525833333333333,325.5,2.48,50.0,32.0
10.0,37.08038651685394,0.201665168539326,0.1793213483146069,DW,92.0,0.22125,0.295,372.0,2.48,50.0,32.0
10.5,42.05200000000001,0.2457375,0.0936,DW,102.0,0.2501583333333334,0.3335416666666666,422.5,2.48,50.0,32.0
11.0,39.61908571428572,0.2430714285714285,0.1085714285714286,DW,112.0,0.2790666666666667,0.3720833333333333,473.0,2.48,50.0,32.0
11.5,33.3784,0.2564,0.1126333333333333,DW,100.0,0.3066583333333334,0.408875,516.5,2.48,50.0,32.0
12.0,34.77916666666667,0.302,0.114,DW,88.0,0.33425,0.4456666666666667,560.0,2.48,50.0,32.0
12.5,38.69235999999999,0.29818,0.1228,DW,96.0,0.3479666666666666,0.4639583333333334,619.5,2.48,50.0,32.0
13.0,40.26571612903226,0.3034129032258064,0.1408709677419355,DW,104.0,0.3616833333333333,0.48225,679.0,2.48,50.0,32.0
13.5,45.4026,0.3,0.20015,DW,104.0,0.3698708333333333,0.4931666666666666,729.0,2.48,50.0,32.0
14.0,53.71183333333335,0.4173999999999999,0.21095,DW,104.0,0.3780583333333333,0.5040833333333333,779.0,2.48,50.0,32.0
14.5,56.41262,0.4491599999999999,0.2131699999999999,DW,100.0,0.3890625,0.51875,827.5,2.48,50.0,32.0
15.0,54.32846000000001,0.44742,0.21739,DW,96.0,0.4000666666666666,0.5334166666666667,876.0,2.48,50.0,32.0
15.5,52.402375,0.435675,0.22305,DW,98.0,0.4018125,0.53575,925.5,2.48,50.0,32.0
16.0,51.35349794050344,0.4165762013729978,0.2210742677345539,DW,100.0,0.4035583333333333,0.5380833333333334,975.0,2.48,50.0,32.0
16.5,49.88352999999999,0.4806999999999991,0.169125,DW,100.0,0.41025,0.547,1024.5,2.48,50.0,32.0
17.0,51.70129999999999,0.5099400000000011,0.17425,DW,100.0,0.4169416666666667,0.5559166666666667,1074.0,2.48,50.0,32.0
17.5,48.11581355932203,0.4713052730696798,0.179375,DW,92.0,0.4180041666666666,0.5573333333333333,1121.0,2.48,50.0,32.0
18.0,42.78391818181819,0.4024636363636362,0.1845,DW,84.0,0.4190666666666666,0.55875,1168.0,2.48,50.0,32.0
18.5,49.44705454545554,0.5079636363636243,0.189625,DW,82.0,0.4046291666666667,0.5395,1211.0,2.48,50.0,32.0
19.0,35.85016315789473,0.2288426900584796,0.19475,DW,80.0,0.3901916666666667,0.52025,1254.0,2.48,50.0,32.0
19.5,35.53291169590643,0.2662046133853151,0.199875,DW,78.0,0.3889708333333334,0.518625,1289.5,2.48,50.0,32.0
20.0,35.21566023391813,0.3035665367121507,0.205,DW,76.0,0.38775,0.517,1325.0,2.48,50.0,32.0
20.5,31.56636,0.3038199999999996,0.210125,DW,62.0,0.3855916666666667,0.5141249999999999,1362.5,2.48,50.0,32.0
21.0,32.21300909090908,0.2222363636363634,0.21525,DW,48.0,0.3834333333333333,0.51125,1400.0,2.48,50.0,32.0
21.5,23.34292596566524,0.2279935622317598,0.2530747719957081,DW,58.0,0.3856249999999999,0.5141666666666667,1435.0,2.48,50.0,32.0
22.0,23.37192000000003,0.2062600000000002,0.3319349999999993,DW,68.0,0.3878166666666666,0.5170833333333333,1470.0,2.48,50.0,32.0
22.5,24.95442000000005,0.4065199999999985,0.1088749999999975,DW,56.0,0.3884416666666667,0.5179166666666667,1504.5,2.48,50.0,32.0
23.0,18.63802727272728,0.1944636363636364,0.02176590909090908,DW,44.0,0.3890666666666667,0.51875,1539.0,2.48,50.0,32.0
23.5,13.53582,0.12632,0.1161349999999999,DW,64.0,0.38575,0.5143333333333333,1576.0,2.48,50.0,32.0
24.0,13.53713636363636,0.1236909090909091,0.2297568181818183,DW,84.0,0.3824333333333333,0.5099166666666667,1613.0,2.48,50.0,32.0
24.5,13.05540846774194,0.1031290322580646,0.3262699596774194,DW,84.0,0.3830916666666666,0.5107916666666668,1654.5,2.48,50.0,32.0
25.0,12.16918,0.08366000000000007,0.3352550000000001,DW,84.0,0.38375,0.5116666666666667,1696.0,2.48,50.0,32.0
25.5,11.91308999999998,0.0750999999999999,0.3249749999999998,DW,92.0,0.3814083333333333,0.5085416666666667,1742.0,2.48,50.0,32.0
26.0,12.89221818181819,0.1355909090909093,0.287134090909091,DW,100.0,0.3790666666666667,0.5054166666666666,1788.0,2.48,50.0,32.0
26.5,11.2478,0.0957,0.158725,DW,98.0,0.3825958333333334,0.5101249999999999,1836.5,2.48,50.0,32.0
27.0,12.03179090909093,0.1262999999999999,0.1783340909090908,DW,96.0,0.386125,0.5148333333333333,1885.0,2.48,50.0,32.0
27.5,4.70471437699682,0.1259624600638978,0.1794270766773163,DW,100.0,0.3857208333333333,0.5142916666666666,1934.0,2.48,50.0,32.0
28.0,16.38985814696485,0.1605870607028754,0.2164478434504792,DW,104.0,0.3853166666666666,0.51375,1983.0,2.48,50.0,32.0
28.5,28.07500191693287,0.1952116613418529,0.2534686102236421,DW,102.0,0.4036916666666667,0.53825,2032.0,2.48,50.0,32.0
29.0,39.97765,0.1622749999999997,0.263325,DW,100.0,0.4220666666666667,0.56275,2081.0,2.48,50.0,32.0
29.5,44.14865,0.21325,0.270475,DW,94.0,0.4338125,0.5784166666666666,2133.0,2.48,50.0,32.0
30.0,46.14469999999995,0.2066714285714286,0.272710714285714,DW,88.0,0.4455583333333333,0.5940833333333333,2185.0,2.48,50.0,32.0
30.5,42.2062,0.2669,0.280325,DW,94.0,0.4660291666666666,0.621375,2234.0,2.48,50.0,32.0
31.0,40.16815555555554,0.1894666666666666,0.2753250000000003,DW,100.0,0.4865,0.6486666666666666,2283.0,2.48,50.0,32.0
31.5,62.78922245762713,0.3242000000000002,0.306115591101695,DW,,,,,2.48,50.0,32.0
32.0,74.43323749999998,0.7539749999999987,0.328,DW,,,,,2.48,50.0,32.0
32.5,68.58500000000004,0.8005200000000018,0.333125,DW,,,,,,,
33.0,72.69460705882365,0.6532611764705885,0.3382500000000001,DW,,,,,,,
33.5,63.16780999999992,0.7398400000000178,0.343375,DW,,,,,,,
34.0,64.1869222222224,0.8525777777777911,0.3485,DW,,,,,,,
34.5,25.3655558912387,0.3013818731117821,0.3504995679758308,DW,,,,,,,
35.0,32.89554078549849,0.2071975830815709,0.344134009063444,DW,,,,,,,
35.5,40.42552567975828,0.1130132930513598,0.3377684501510574,DW,,,,,,,
36.0,60.63310688336519,0.4116124282982797,0.3532832179732314,DW,,,,,,,
36.5,59.66914545454544,0.7112636363636364,0.374125,DW,,,,,,,
37.0,72.55193333333341,0.8544666666666632,0.37925,DW,,,,,,,
37.5,77.19236198347113,0.7669446280991765,0.384375,DW,,,,,,,
38.0,85.94092500000038,0.9090749999999986,0.3895,DW,,,,,,,
38.5,60.67649999999998,0.7545800000000001,0.394625,DW,,,,,,,
1.0,6.129045454545454,0.03665454545454545,0.02073636363636364,CJ,,,,,2.48,50.0,29.0
1.5,5.108879999999999,0.04212999999999999,0.02582000000000001,CJ,,,,,2.48,50.0,29.0
2.0,1.921963636363636,0.0213909090909091,0.02806363636363637,CJ,,,,,2.48,50.0,29.0
2.5,7.178760000000005,0.02125999999999999,-0.02055999999999992,CJ,,,,,2.48,50.0,29.0
3.0,7.732236106489185,0.06234908485856905,0.04195590682196339,CJ,,,,,2.48,50.0,29.0
3.5,6.638808485856905,0.0636801996672213,0.01745507487520798,CJ,,,,,2.48,50.0,29.0
4.0,3.607672727272725,0.1053,-0.02574999999999998,CJ,4.0,0.185,0.2466666666666667,4.0,2.48,50.0,29.0
4.5,16.63662,0.15441,0.006860000000000028,CJ,8.0,0.159375,0.2125,7.5,2.48,50.0,29.0
5.0,23.61033333333333,0.1703,0.06961666666666667,CJ,12.0,0.13375,0.1783333333333333,11.0,2.48,50.0,29.0
5.5,26.41630000000001,0.1881599999999999,0.08148999999999997,CJ,14.0,0.1303125,0.17375,19.0,2.48,50.0,29.0
6.0,23.68003894080997,0.1794442367601246,0.08631105919003115,CJ,16.0,0.126875,0.1691666666666667,27.0,2.48,50.0,29.0
6.5,22.78455607476636,0.1513757009345794,0.08179392523364486,CJ,26.0,0.139375,0.1858333333333334,39.5,2.48,50.0,29.0
7.0,21.88907320872274,0.1233071651090343,0.07727679127725857,CJ,36.0,0.151875,0.2025,52.0,2.48,50.0,29.0
7.5,21.49231111111112,0.09817777777777786,0.07328333333333335,CJ,42.0,0.165,0.22,74.5,2.48,50.0,29.0
8.0,22.2623,0.14248,0.08175,CJ,48.0,0.178125,0.2375,97.0,2.48,50.0,29.0
8.5,20.1039,0.1252,0.08835000000000001,CJ,44.0,0.226875,0.3025,116.5,2.48,50.0,29.0
9.0,26.82403,0.1586,0.09306,CJ,40.0,0.275625,0.3675,136.0,2.48,50.0,29.0
9.5,27.30285,0.17009,0.09847000000000002,CJ,46.0,0.2825,0.3766666666666666,159.0,2.48,50.0,29.0
10.0,33.29793165938864,0.1942853711790392,0.1064219432314411,CJ,52.0,0.289375,0.3858333333333333,182.0,2.48,50.0,29.0
10.5,32.7823,0.1691,0.1125,CJ,72.0,0.2940625,0.3920833333333333,216.5,2.48,50.0,29.0
11.0,33.1467,0.25615,0.1306,CJ,92.0,0.29875,0.3983333333333333,251.0,2.48,50.0,29.0
11.5,32.73852,0.1805599999999999,0.1373199999999999,CJ,82.0,0.355625,0.4741666666666667,290.0,2.48,50.0,29.0
12.0,31.26232999999992,0.1614500000000001,0.14217,CJ,72.0,0.4125,0.55,329.0,2.48,50.0,29.0
12.5,40.1408,0.2516,0.1476,CJ,70.0,0.4346875,0.5795833333333333,365.5,2.48,50.0,29.0
13.0,38.9549,0.2408861538461539,0.1459712820512821,CJ,68.0,0.456875,0.6091666666666666,402.0,2.48,50.0,29.0
13.5,39.05447999999998,0.2375799999999999,0.1197900000000001,CJ,72.0,0.4784375,0.6379166666666667,437.5,2.48,50.0,29.0
14.0,52.53647500000001,0.286875,0.13335,CJ,76.0,0.5,0.6666666666666666,473.0,2.48,50.0,29.0
14.5,41.2108,0.3705333333333333,0.1363166666666667,CJ,80.0,0.4934375,0.6579166666666667,514.5,2.48,50.0,29.0
15.0,32.2106,0.1762299999999997,0.1315700000000001,CJ,84.0,0.486875,0.6491666666666667,556.0,2.48,50.0,29.0
15.5,34.46373333333332,0.1875444444444443,0.1469055555555555,CJ,82.0,0.515,0.6866666666666666,596.5,2.48,50.0,29.0
16.0,35.72959916317992,0.2316140167364017,0.1514780423640167,CJ,80.0,0.543125,0.7241666666666666,637.0,2.48,50.0,29.0
16.5,20.82285,0.1674,0.169125,CJ,74.0,0.5559375,0.74125,672.0,2.48,50.0,29.0
17.0,20.59386363636364,0.1536272727272727,0.17425,CJ,68.0,0.56875,0.7583333333333333,707.0,2.48,50.0,29.0
17.5,22.97525405405405,0.1683918918918919,0.1740169087837838,CJ,68.0,0.568125,0.7575000000000001,742.0,2.48,50.0,29.0
18.0,22.45458000000001,0.1498000000000001,0.157245,CJ,68.0,0.5675,0.7566666666666667,777.0,2.48,50.0,29.0
18.5,34.82093,0.26174,0.163475,CJ,66.0,0.5696875,0.7595833333333333,810.5,2.48,50.0,29.0
19.0,57.8617104385423,0.2942985176034589,0.1775070997529339,CJ,64.0,0.571875,0.7625,844.0,2.48,50.0,29.0
19.5,47.13623174799257,0.2473250772081531,0.1886992708462014,CJ,68.0,0.5559375,0.74125,879.0,2.48,50.0,29.0
20.0,36.41075305744285,0.2003516368128474,0.1998914419394688,CJ,72.0,0.54,0.72,914.0,2.48,50.0,29.0
20.5,37.5018,0.1705,0.210125,CJ,70.0,0.55,0.7333333333333334,950.0,2.48,50.0,29.0
21.0,37.67458000000004,0.3920400000000004,0.21525,CJ,68.0,0.56,0.7466666666666667,986.0,2.48,50.0,29.0
21.5,50.06389133858266,0.6883737532808389,0.220375,CJ,68.0,0.5609375000000001,0.7479166666666667,1020.5,2.48,50.0,29.0
22.0,52.87566666666667,0.6654333333333333,0.2255,CJ,68.0,0.561875,0.7491666666666666,1055.0,2.48,50.0,29.0
22.5,54.01614000000004,0.7198000000000018,0.230625,CJ,70.0,0.5640625,0.7520833333333333,1090.5,2.48,50.0,29.0
23.0,50.64541118421048,0.6797315789473672,0.23575,CJ,72.0,0.56625,0.755,1126.0,2.48,50.0,29.0
23.5,43.0667,0.4282,0.240875,CJ,72.0,0.568125,0.7575000000000001,1163.0,2.48,50.0,29.0
24.0,45.6908,0.6170099999999998,0.246,CJ,72.0,0.57,0.76,1200.0,2.48,50.0,29.0
24.5,34.06350880361175,0.6511738148984211,0.251125,CJ,70.0,0.566875,0.7558333333333334,1235.5,2.48,50.0,29.0
25.0,34.39575,0.3624800000000007,0.25625,CJ,68.0,0.56375,0.7516666666666667,1271.0,2.48,50.0,29.0
25.5,33.21769999999999,0.4591000000000003,0.261375,CJ,70.0,0.561875,0.7491666666666668,1306.0,2.48,50.0,29.0
26.0,44.65576666666666,0.6900604166666662,0.2663543645833333,CJ,72.0,0.56,0.7466666666666667,1341.0,2.48,50.0,29.0
26.5,68.08833931623934,0.4584176638176634,0.1877856481481478,CJ,72.0,0.5828125,0.7770833333333333,1376.5,2.48,50.0,29.0
27.0,73.60024999999997,0.6492200000000012,0.27675,CJ,72.0,0.605625,0.8075,1412.0,2.48,50.0,29.0
27.5,88.59504999999987,1.183800000000002,0.281875,CJ,74.0,0.61375,0.8183333333333334,1450.0,2.48,50.0,29.0
28.0,59.48057124735731,0.813325158562369,0.287,CJ,76.0,0.621875,0.8291666666666667,1488.0,2.48,50.0,29.0
28.5,62.59486666666667,0.7837666666666667,0.292125,CJ,,,,,2.48,50.0,29.0
29.0,76.16590000000001,1.048333333333333,0.29725,CJ,,,,,2.48,50.0,29.0
29.5,53.43079863013698,0.8093465753424659,0.302375,CJ,,,,,,,
30.0,68.16184999999999,0.7475499999999999,0.3075000000000001,CJ,,,,,,,
30.5,86.6225857142857,0.9451142857142871,0.312625,CJ,,,,,,,
31.0,82.84765999999995,0.9920899999999984,0.31775,CJ,,,,,,,
31.5,67.94023999999989,0.7951999999999992,0.322875,CJ,,,,,,,
32.0,73.5139,0.841,0.328,CJ,,,,,,,
32.5,44.73499710982654,0.5460352601156064,0.333125,CJ,,,,,,,
33.0,32.06278999999996,0.3772599999999982,0.33825,CJ,,,,,,,
33.5,26.36958000000014,0.4588000000000073,0.343375,CJ,,,,,,,
34.0,43.92711590909092,0.5377220454545454,0.3485,CJ,,,,,,,
34.5,57.8396,0.5675,0.353625,CJ,,,,,,,
35.0,50.32672000000004,0.6038000000000022,0.35875,CJ,,,,,,,
35.5,59.27936017505471,0.6147109409190373,0.363875,CJ,,,,,,,
36.0,73.06001666666654,0.6930999999999915,0.3690000000000001,CJ,,,,,,,
36.5,66.64931249999994,0.7620374999999998,0.374125,CJ,,,,,,,
37.0,61.21640340909091,0.7303586363636358,0.37925,CJ,,,,,,,
37.5,73.07255,0.8433,0.384375,CJ,,,,,,,
38.0,66.64422222222245,0.8770777777777821,0.3895,CJ,,,,,,,
38.5,50.95087532228357,0.6460817679558,0.394625,CJ,,,,,,,
39.0,39.51435,0.3402,0.39975,CJ,,,,,,,
39.5,62.57816666666667,0.6287,0.404875,CJ,,,,,,,
0.5,1.2587,0.0136,0.005,AU,,,,,2.48,55.0,32.0
1.0,5.0266,0.0357,-0.1376,AU,,,,,2.48,55.0,32.0
1.5,8.3592,0.0689,0.0262,AU,,,,,2.48,55.0,32.0
2.0,10.9846,0.074,0.033,AU,,,,,2.48,55.0,32.0
2.5,13.1278,0.0929,0.038,AU,,,,,2.48,55.0,32.0
3.0,13.25936551724138,0.1048551724137931,0.0494603448275862,AU,,,,,2.48,55.0,32.0
3.5,20.0752,0.1542,0.04855,AU,,,,,2.48,55.0,32.0
4.0,21.6156,0.1854,0.06045,AU,,,,,2.48,55.0,32.0
4.5,20.8682,0.1823,0.07214999999999999,AU,,,,,2.48,55.0,32.0
5.0,28.4102,0.2378,0.07995,AU,4.0,0.131875,0.2733333333333333,4.0,2.48,55.0,32.0
5.5,36.0453,0.3082,0.09075,AU,4.0,0.1490625,0.2220833333333333,6.5,2.48,55.0,32.0
6.0,30.98978000000001,0.2595342857142858,0.08360285714285715,AU,4.0,0.16625,0.1708333333333333,9.0,2.48,55.0,32.0
6.5,33.0037,0.2483,0.0798,AU,8.0,0.1546875,0.1891666666666666,14.0,2.48,55.0,32.0
7.0,37.1976,0.2812,0.0883,AU,12.0,0.143125,0.2075,19.0,2.48,55.0,32.0
7.5,34.7707,0.2756,0.1076,AU,44.0,0.1490625,0.2266666666666666,57.5,2.48,55.0,32.0
8.0,41.1994,0.2974,0.1155,AU,76.0,0.155,0.2458333333333333,96.0,2.48,55.0,32.0
8.5,38.0581,0.3044,0.1178,AU,70.0,0.198125,0.2775,127.5,2.48,55.0,32.0
9.0,29.64437692307692,0.2898384615384615,0.1374615384615385,AU,64.0,0.24125,0.3091666666666666,159.0,2.48,55.0,32.0
9.5,19.25745384615385,0.2092935897435897,0.1559230769230769,AU,68.0,0.2346875,0.3104166666666666,187.5,2.48,55.0,32.0
10.0,8.870530769230776,0.128748717948718,0.1743846153846154,AU,72.0,0.228125,0.3116666666666666,216.0,2.48,55.0,32.0
10.5,3.1111,0.1142,0.2617,AU,70.0,0.2290625,0.3104166666666666,253.0,2.48,55.0,32.0
11.0,5.1612,0.0839,0.02930000000000001,AU,68.0,0.23,0.3091666666666666,290.0,2.48,55.0,32.0
11.5,32.1301,0.1898,-0.02879999999999999,AU,46.0,0.239375,0.3191666666666667,306.0,2.48,55.0,32.0
12.0,33.1689,0.2605,0.1466,AU,24.0,0.24875,0.3291666666666667,322.0,2.48,55.0,32.0
12.5,8.4761,0.1555,0.0897,AU,34.0,0.2478125,0.3291666666666667,346.0,2.48,55.0,32.0
13.0,6.685991999999999,0.104784,-0.06116999999999992,AU,44.0,0.246875,0.3291666666666667,370.0,2.48,55.0,32.0
13.5,4.9973,0.1118,-0.13935,AU,34.0,0.2471875,0.3308333333333334,388.5,2.48,55.0,32.0
14.0,8.1778,0.1191,-0.14605,AU,24.0,0.2475,0.3325,407.0,2.48,55.0,32.0
14.5,10.0029,0.1724,-0.23825,AU,32.0,0.2525,0.3391666666666667,424.5,2.48,55.0,32.0
15.0,40.2847,0.3314,-0.22435,AU,40.0,0.2575,0.3458333333333333,442.0,2.48,55.0,32.0
15.5,44.05693396226415,0.4231415094339623,-0.09909150943396222,AU,68.0,0.284375,0.3795833333333333,488.0,2.48,55.0,32.0
16.0,45.31325471698113,0.550311320754717,0.049988679245283,AU,96.0,0.31125,0.4133333333333333,534.0,2.48,55.0,32.0
16.5,47.2178,0.555,-0.03739999999999999,AU,92.0,0.3375,0.4495833333333333,577.0,2.48,55.0,32.0
17.0,44.4717,0.4523,-0.1555,AU,88.0,0.36375,0.4858333333333333,620.0,2.48,55.0,32.0
17.5,28.3633,0.2171,-0.2184,AU,88.0,0.3690625,0.5008333333333334,663.5,2.48,55.0,32.0
18.0,35.56334473684209,0.4983657894736836,-0.2016434210526317,AU,88.0,0.374375,0.5158333333333334,707.0,2.48,55.0,32.0
18.5,49.07620657894736,0.9722802631578944,-0.05025197368421064,AU,94.0,0.383125,0.5162500000000001,754.5,2.48,55.0,32.0
19.0,62.58906842105262,1.446194736842105,0.1011394736842104,AU,100.0,0.391875,0.5166666666666667,802.0,2.48,55.0,32.0
19.5,73.3021,1.7613,0.199875,AU,98.0,0.420625,0.5604166666666667,850.0,2.48,55.0,32.0
20.0,62.8654,1.4415,0.205,AU,96.0,0.449375,0.6041666666666666,898.0,2.48,55.0,32.0
20.5,46.42626842105265,0.7464947368421055,0.1471934210526318,AU,90.0,0.4734375,0.6333333333333333,943.5,2.48,55.0,32.0
21.0,38.26343947368422,0.5674815789473686,-0.005010526315789327,AU,84.0,0.4975,0.6625,989.0,2.48,55.0,32.0
21.5,30.1006105263158,0.3884684210526317,-0.1572144736842104,AU,84.0,0.490625,0.6633333333333333,1033.5,2.48,55.0,32.0
22.0,29.9702,0.2437,-0.307025,AU,84.0,0.48375,0.6641666666666667,1078.0,2.48,55.0,32.0
22.5,24.088,0.2554,-0.294925,AU,78.0,0.496875,0.6720833333333334,1114.5,2.48,55.0,32.0
23.0,19.8737,0.3079,-0.2933250000000001,AU,72.0,0.51,0.68,1151.0,2.48,55.0,32.0
23.5,34.2547,0.4105,-0.245525,AU,72.0,0.5090625,0.6775,1187.5,2.48,55.0,32.0
24.0,38.2376,0.5591,0.216475,AU,72.0,0.508125,0.675,1224.0,2.48,55.0,32.0
24.5,26.144,0.36098,0.232993,AU,70.0,0.5046875,0.6770833333333334,1259.5,2.48,55.0,32.0
25.0,30.8008,0.3884,0.122225,AU,68.0,0.50125,0.6791666666666667,1295.0,2.48,55.0,32.0
25.5,34.0059,0.4103,0.05992499999999998,AU,68.0,0.5034375,0.67625,1331.0,2.48,55.0,32.0
26.0,37.2064,0.5448,0.260325,AU,68.0,0.505625,0.6733333333333333,1367.0,2.48,55.0,32.0
26.5,38.9797,0.5478,0.298225,AU,70.0,0.5081249999999999,0.67875,1402.0,2.48,55.0,32.0
27.0,33.6887,0.3722,-0.07547500000000001,AU,72.0,0.510625,0.6841666666666667,1437.0,2.48,55.0,32.0
27.5,24.38463076923079,0.387546153846154,0.01186730769230778,AU,74.0,0.513125,0.6866666666666668,1474.0,2.48,55.0,32.0
28.0,12.6022,0.2943,-0.149625,AU,76.0,0.515625,0.6891666666666667,1511.0,2.48,55.0,32.0
28.5,27.8103,0.4601,-0.179125,AU,80.0,0.5153125000000001,0.69,1550.5,2.48,55.0,32.0
29.0,32.5414,0.3091,-0.2529250000000001,AU,84.0,0.515,0.6908333333333333,1590.0,2.48,55.0,32.0
29.5,54.35568767123289,0.7053726027397264,-0.1491056849315067,AU,92.0,0.524375,0.6591666666666667,1633.0,2.48,55.0,32.0
30.0,63.52421506849315,1.045989041095891,0.02703472602739732,AU,100.0,0.53375,0.6275,1676.0,2.48,55.0,32.0
30.5,72.69274246575341,1.386605479452055,0.2031751369863013,AU,94.0,0.53125,0.6770833333333333,1721.5,2.48,55.0,32.0
31.0,95.3539,2.1606,0.31775,AU,88.0,0.52875,0.7266666666666667,1767.0,2.48,55.0,32.0
31.5,88.75603414634146,2.029929268292683,0.322875,AU,94.0,0.5265625,0.7141666666666666,1815.5,2.48,55.0,32.0
32.0,95.4851,2.3923,0.328,AU,100.0,0.524375,0.7016666666666667,1864.0,2.48,55.0,32.0
32.5,90.674,2.2139,0.333125,AU,,,,,,,
33.0,95.37025483870967,2.142454838709678,0.33825,AU,,,,,,,
33.5,96.24571812080539,2.142587919463088,0.343375,AU,,,,,,,
34.0,93.07358724832217,2.063175167785236,0.3485,AU,,,,,,,
34.5,89.90145637583895,1.983762416107383,0.353625,AU,,,,,,,
35.0,86.72932550335571,1.904349664429531,0.35875,AU,,,,,,,
35.5,83.55719463087249,1.824936912751678,0.363875,AU,,,,,,,
36.0,80.38506375838926,1.745524161073826,0.369,AU,,,,,,,
36.5,78.27418844221106,1.679312060301508,0.374125,AU,,,,,,,
37.0,78.3344648241206,1.644349748743719,0.37925,AU,,,,,,,
37.5,78.39474120603016,1.60938743718593,0.384375,AU,,,,,,,
38.0,78.45501758793971,1.574425125628141,0.3895,AU,,,,,,,
38.5,78.51529396984925,1.539462814070352,0.394625,AU,,,,,,,
39.0,78.5755703517588,1.504500502512563,0.39975,AU,,,,,,,
39.5,78.63584673366834,1.469538190954774,0.404875,AU,,,,,,,
40.0,78.69612311557789,1.434575879396985,0.41,AU,,,,,,,
40.5,83.2929,1.6017,0.415125,AU,,,,,,,
0.5,1.446,0.0138,0.0063,DQ,,,,,2.48,50.0,27.0
1.0,7.7512,0.0587,0.0071,DQ,,,,,2.48,50.0,27.0
1.5,5.2157,0.046,0.0214,DQ,,,,,2.48,50.0,27.0
2.0,5.3036,0.0475,0.0304,DQ,,,,,2.48,50.0,27.0
2.5,6.0957,0.0506,0.0347,DQ,,,,,2.48,50.0,27.0
3.0,7.935893333333333,0.05558666666666667,0.03317,DQ,8.0,0.138125,0.1841666666666667,4.0,2.48,50.0,27.0
3.5,13.1654,0.0849,0.03175,DQ,10.0,0.1384375,0.1845833333333333,9.5,2.48,50.0,27.0
4.0,17.1547,0.1227,0.04295,DQ,12.0,0.13875,0.185,15.0,2.48,50.0,27.0
4.5,19.6534,0.1603,0.05425,DQ,22.0,0.1265625,0.16875,26.0,2.48,50.0,27.0
5.0,21.4728,0.1787,0.06465,DQ,32.0,0.114375,0.1525,37.0,2.48,50.0,27.0
